99	124	95	180	125	209	136	72	223	133	58	162	150	245	69	13	
142	100	163	79	207	47	48	238	42	194	40	28	112	254	84	3	
38	67	83	158	176	56	117	53	134	131	246	222	202	148	165	189	
199	215	179	188	198	90	220	16	234	231	173	143	248	137	224	122	
114	73	192	132	200	113	46	24	57	159	206	31	219	229	251	214	
34	204	19	240	169	11	14	45	183	144	43	5	0	98	12	116	
130	237	138	94	184	21	140	52	2	81	76	161	15	51	105	119	
20	41	33	87	4	139	166	236	29	160	22	225	17	8	239	107	
235	185	197	127	178	168	35	152	182	54	106	221	118	226	109	187	
78	191	174	135	6	82	93	171	63	196	32	250	156	120	10	59	
195	44	7	230	232	170	25	126	181	115	228	1	213	27	247	108	
9	111	154	155	71	242	80	172	97	77	227	175	212	255	91	68	
147	26	36	167	151	62	253	104	61	74	88	157	39	252	123	146	
96	210	201	30	244	243	177	60	85	211	75	55	102	149	218	205	
216	110	70	193	66	64	121	65	208	241	23	50	129	190	164	86	
92	128	49	249	217	18	145	141	233	89	101	203	37	186	103	153	
