30	197	54	90	234	213	19	207	227	28	131	83	174	78	242	229	
232	184	136	182	89	156	88	233	144	85	170	126	150	110	166	91	
164	0	70	121	21	93	47	152	176	222	230	163	195	76	133	180	
221	157	120	51	71	247	187	101	97	57	10	127	116	148	224	45	
145	130	52	69	226	143	103	67	225	40	6	64	245	191	220	105	
84	188	13	129	77	119	16	102	35	53	210	155	206	100	9	98	
87	99	62	193	183	250	56	72	94	205	201	68	218	153	34	46	
75	192	36	18	200	114	106	44	43	249	138	79	196	149	39	231	
239	12	255	212	113	33	228	204	190	31	122	22	107	251	181	118	
214	168	162	219	167	236	15	7	159	142	235	81	160	189	25	172	
216	246	86	66	82	2	177	109	61	125	112	29	117	4	161	108	
179	240	248	135	244	49	73	175	217	115	151	243	59	253	215	26	
92	41	254	5	186	11	237	252	137	32	37	165	147	238	50	194	
134	171	241	123	14	128	23	111	48	8	42	27	146	58	203	38	
132	139	141	80	202	3	24	74	20	223	185	1	95	60	173	55	
124	65	104	17	96	178	211	140	199	169	158	208	63	198	209	154	
